frame_size,page_fault,hit_rate,miss_rate
10,961.000000,0.039000,0.961000
11,957.000000,0.043000,0.957000
12,953.000000,0.047000,0.953000
13,950.000000,0.050000,0.950000
14,939.000000,0.061000,0.939000
15,936.000000,0.064000,0.936000
16,929.000000,0.071000,0.929000
17,927.000000,0.073000,0.927000
18,924.000000,0.076000,0.924000
19,919.000000,0.081000,0.919000
20,916.000000,0.084000,0.916000
21,911.000000,0.089000,0.911000
22,908.000000,0.092000,0.908000
23,907.000000,0.093000,0.907000
24,905.000000,0.095000,0.905000
25,904.000000,0.096000,0.904000
26,900.000000,0.100000,0.900000
27,895.000000,0.105000,0.895000
28,890.000000,0.110000,0.890000
29,887.000000,0.113000,0.887000
30,886.000000,0.114000,0.886000
31,875.000000,0.125000,0.875000
32,874.000000,0.126000,0.874000
33,871.000000,0.129000,0.871000
34,870.000000,0.130000,0.870000
35,866.000000,0.134000,0.866000
36,862.000000,0.138000,0.862000
37,858.000000,0.142000,0.858000
38,855.000000,0.145000,0.855000
39,853.000000,0.147000,0.853000
40,847.000000,0.153000,0.847000
41,845.000000,0.155000,0.845000
42,844.000000,0.156000,0.844000
43,836.000000,0.164000,0.836000
44,831.000000,0.169000,0.831000
45,827.000000,0.173000,0.827000
46,822.000000,0.178000,0.822000
47,818.000000,0.182000,0.818000
48,815.000000,0.185000,0.815000
49,813.000000,0.187000,0.813000
50,810.000000,0.190000,0.810000
51,809.000000,0.191000,0.809000
52,804.000000,0.196000,0.804000
53,797.000000,0.203000,0.797000
54,791.000000,0.209000,0.791000
55,789.000000,0.211000,0.789000
56,785.000000,0.215000,0.785000
57,782.000000,0.218000,0.782000
58,779.000000,0.221000,0.779000
59,775.000000,0.225000,0.775000
60,764.000000,0.236000,0.764000
61,762.000000,0.238000,0.762000
62,758.000000,0.242000,0.758000
63,757.000000,0.243000,0.757000
64,749.000000,0.251000,0.749000
65,748.000000,0.252000,0.748000
66,743.000000,0.257000,0.743000
67,738.000000,0.262000,0.738000
68,728.000000,0.272000,0.728000
69,723.000000,0.277000,0.723000
70,723.000000,0.277000,0.723000
71,715.000000,0.285000,0.715000
72,710.000000,0.290000,0.710000
73,709.000000,0.291000,0.709000
74,708.000000,0.292000,0.708000
75,705.000000,0.295000,0.705000
76,702.000000,0.298000,0.702000
77,700.000000,0.300000,0.700000
78,693.000000,0.307000,0.693000
79,689.000000,0.311000,0.689000
80,688.000000,0.312000,0.688000
81,685.000000,0.315000,0.685000
82,678.000000,0.322000,0.678000
83,672.000000,0.328000,0.672000
84,667.000000,0.333000,0.667000
85,662.000000,0.338000,0.662000
86,661.000000,0.339000,0.661000
87,654.000000,0.346000,0.654000
88,651.000000,0.349000,0.651000
89,651.000000,0.349000,0.651000
90,650.000000,0.350000,0.650000
91,644.000000,0.356000,0.644000
92,643.000000,0.357000,0.643000
93,643.000000,0.357000,0.643000
94,640.000000,0.360000,0.640000
95,636.000000,0.364000,0.636000
96,635.000000,0.365000,0.635000
97,630.000000,0.370000,0.630000
98,625.000000,0.375000,0.625000
99,621.000000,0.379000,0.621000
100,618.000000,0.382000,0.618000
101,616.000000,0.384000,0.616000
102,612.000000,0.388000,0.612000
103,604.000000,0.396000,0.604000
104,603.000000,0.397000,0.603000
105,602.000000,0.398000,0.602000
106,589.000000,0.411000,0.589000
107,583.000000,0.417000,0.583000
